show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,"","United States","September 25, 2021",2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
s2,TV Show,Blood & Water,"","Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng","South Africa","September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera","France","September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
s4,TV Show,Jailbirds New Orleans,"","","United States","September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet-phone calls. This is life inside New Orleans Parish Prison, where ten women are banded together to prove that incarceration is much more complicated than it seems."
s5,TV Show,Kota Factory,"","Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar","India","September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India's finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint","United States","September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying island community."
s7,Movie,My Little Pony: A New Generation,Robert Cullen,"Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr","United States","September 24, 2021",2021,PG,91 min,"Children & Family Movies, Comedy Movies","Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she's determined to prove it."
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On the back of a slave, physical and spiritual, a woman is returned to the past to experience the grim reality of the African Diaspora."
s9,TV Show,The Great British Baking Show,"","Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood","United Kingdom","September 24, 2021",2014,TV-G,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a particularly thrilling competition, with the stakes higher than ever."
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Davida Williams, Elpidia Carrillo","United States","September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find his footing."
s11,TV Show,Vendetta: Truth, Lies and The Mafia,"","","Sicily","September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold "anti-Mafia" coalition. But what happens when those trying to bring down the mob are accused of being part of it?"
s12,TV Show,Bangkok Breaking,Kongkiat Khomsiri,"Sukollawat Kanaros, Rinlanee Sripen, Slhorthong Tenee, Bhasaworn Bawronkirati, Ning Panita, Suwat Metchompoo, Nophand Boonyai, Yakaphon Wongsarattanasin","Thailand","September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","A young man arrives in Bangkok chasing a dream and finds himself caught in the crossfire between corrupt officials and an underground rescue squad."
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Aziz Dyab, Anna Fialova, Fleur Geffrier, Mélanie Fouache, Victor Boccard, Dominic Hartmann, Lukas Zolgar","Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies, Thrillers","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group responsible for the attack."
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Mel Maia, Marcus Bessa, Júlia Gomes, Kiria Malheiros","Brazil","September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies","When the clever but socially-awkward Tetê joins a new school, she must find a way to fit in — but her honesty gets in the way of making friends."
